date,time,season,comp,round,home_team,away_team,gf_home,ga_home,xg_home,gf_away,ga_away,xg_away,result_home,xg_home_roll5,xg_away_roll5,xg_home_roll10,xg_away_roll10,gf_home_roll5,gf_away_roll5,gf_home_roll10,gf_away_roll10,ga_home_roll5,ga_away_roll5,ga_home_roll10,ga_away_roll10,xg_conceded_home_roll5,xg_conceded_away_roll5,xg_conceded_home_roll10,xg_conceded_away_roll10,avg_goals_for_prev_home,avg_goals_against_prev_home,avg_goals_for_prev_away,avg_goals_against_prev_away,avg_goals_for_curr_home,avg_goals_against_curr_home,avg_goals_for_curr_away,avg_goals_against_curr_away,matches_played_home,matches_played_away,avg_goals_for_home,avg_goals_against_home,avg_goals_for_away,avg_goals_against_away,home_advantage
2023-09-30,15:30,2023-2024,Bundesliga,6,Bochum,Monchengladbach,1.0,3.0,1.7,3.0,1.0,2.9,-1,1.1,1.52,1.1,1.52,0.8,1.6,0.8,1.6,3.2,2.6,3.2,2.6,2.32,1.86,2.32,1.86,,,,,1.24,2.18,1.65,1.97,5,5,1.24,2.18,1.65,1.97,-0.41
2023-09-30,15:30,2023-2024,Bundesliga,6,Wolfsburg,Eintracht Frankfurt,2.0,0.0,3.2,0.0,2.0,1.3,1,1.2,0.98,1.2,0.98,1.4,0.8,1.4,0.8,1.2,0.6,1.2,0.6,1.38,1.02,1.38,1.02,,,,,1.21,1.65,1.5,1.47,5,5,1.21,1.65,1.5,1.47,-0.29
2023-09-30,15:30,2023-2024,Bundesliga,6,Heidenheim,Union Berlin,1.0,0.0,0.8,0.0,1.0,2.2,1,1.68,1.32,1.68,1.32,1.8,1.8,1.8,1.8,2.6,1.8,2.6,1.8,3.0,1.64,3.0,1.64,,,,,1.47,1.62,0.97,1.71,5,5,1.47,1.62,0.97,1.71,0.5
2023-09-30,15:30,2023-2024,Bundesliga,6,Köln,Stuttgart,0.0,2.0,0.7,2.0,0.0,2.5,-1,1.06,1.94,1.06,1.94,0.8,3.4,0.8,3.4,1.8,1.4,1.8,1.4,1.54,0.94,1.54,0.94,,,,,0.82,1.76,2.29,1.15,5,5,0.82,1.76,2.29,1.15,-1.47
2023-10-01,15:30,2023-2024,Bundesliga,6,Darmstadt 98,Werder Bremen,4.0,2.0,2.4,2.0,4.0,1.5,1,0.92,1.88,0.92,1.88,1.2,1.6,1.2,1.6,3.2,2.0,3.2,2.0,2.44,1.84,2.44,1.84,,,,,0.88,2.53,1.41,1.59,5,5,0.88,2.53,1.41,1.59,-0.53
2023-10-01,17:30,2023-2024,Bundesliga,6,Freiburg,Augsburg,2.0,0.0,1.0,0.0,2.0,0.8,1,1.5,1.48,1.5,1.48,1.0,1.8,1.0,1.8,2.0,2.6,2.0,2.6,1.4,1.56,1.4,1.56,,,,,1.32,1.71,1.47,1.76,5,5,1.32,1.71,1.47,1.76,-0.15
2023-10-06,20:30,2023-2024,Bundesliga,7,Monchengladbach,Mainz 05,2.0,2.0,2.3,2.0,2.0,0.8,0,1.76,0.74,1.75,1.0,1.4,0.6,1.83,0.67,2.0,2.6,2.33,2.83,1.74,1.46,1.83,1.53,,,,,1.65,1.97,1.15,1.5,6,6,1.65,1.97,1.15,1.5,0.5
2023-10-07,18:30,2023-2024,Bundesliga,7,Werder Bremen,Hoffenheim,2.0,3.0,0.8,3.0,2.0,1.9,-1,2.06,1.98,1.82,1.88,2.0,2.4,1.67,2.17,2.0,1.4,2.33,1.5,1.76,1.56,1.93,1.73,,,,,1.41,1.59,1.94,1.94,6,6,1.41,1.59,1.94,1.94,-0.53
2023-10-07,15:30,2023-2024,Bundesliga,7,Augsburg,Darmstadt 98,1.0,2.0,0.9,2.0,1.0,1.8,-1,1.18,1.3,1.37,1.17,1.0,2.0,1.5,1.67,2.2,3.4,2.5,3.0,1.42,2.44,1.47,2.28,,,,,1.47,1.76,0.88,2.53,6,6,1.47,1.76,0.88,2.53,0.59
2023-10-07,15:30,2023-2024,Bundesliga,7,Dortmund,Union Berlin,4.0,2.0,1.6,2.0,4.0,1.4,1,2.06,1.38,2.02,1.47,2.2,1.0,2.0,1.5,1.2,1.8,1.0,1.67,1.3,1.34,1.28,1.5,,,,,2.0,1.26,0.97,1.71,6,6,2.0,1.26,0.97,1.71,1.03
2023-10-07,15:30,2023-2024,Bundesliga,7,RB Leipzig,Bochum,0.0,0.0,2.5,0.0,0.0,0.4,-1,1.1,1.28,1.18,1.2,2.8,1.0,2.67,0.83,0.6,2.8,1.0,3.17,1.24,2.3,1.27,2.42,,,,,2.26,1.15,1.24,2.18,6,6,2.26,1.15,1.24,2.18,1.02
2023-10-07,15:30,2023-2024,Bundesliga,7,Stuttgart,Wolfsburg,3.0,1.0,2.7,1.0,3.0,1.2,1,1.84,1.4,2.03,1.53,2.8,1.4,3.17,1.5,1.4,1.2,1.17,1.0,0.92,1.4,0.9,1.37,,,,,2.29,1.15,1.21,1.65,6,6,2.29,1.15,1.21,1.65,1.08
2023-10-08,17:30,2023-2024,Bundesliga,7,Bayern Munich,Freiburg,3.0,0.0,2.4,0.0,3.0,0.1,1,2.88,1.18,2.87,1.42,3.2,1.0,3.33,1.17,1.2,1.8,1.0,1.67,0.78,1.28,0.75,1.3,,,,,2.76,1.32,1.32,1.71,6,6,2.76,1.32,1.32,1.71,1.44
2023-10-08,15:30,2023-2024,Bundesliga,7,Bayer Leverkusen,Köln,3.0,0.0,3.2,0.0,3.0,1.3,1,2.42,0.96,2.25,1.0,3.4,0.8,3.33,0.67,0.8,2.0,1.0,1.83,0.88,1.68,1.0,1.7,,,,,2.62,0.71,0.82,1.76,6,6,2.62,0.71,0.82,1.76,1.8
2023-10-08,19:30,2023-2024,Bundesliga,7,Eintracht Frankfurt,Heidenheim,2.0,0.0,1.9,0.0,2.0,1.2,1,0.94,1.6,1.03,1.53,0.6,2.0,0.67,1.67,1.0,2.2,0.83,2.17,1.56,3.0,1.38,2.87,,,,,1.5,1.47,1.47,1.62,6,6,1.5,1.47,1.47,1.62,0.03
2023-10-20,20:30,2023-2024,Bundesliga,8,Dortmund,Werder Bremen,1.0,0.0,2.6,0.0,1.0,0.4,1,2.12,2.02,1.96,1.67,2.8,2.4,2.29,1.71,1.4,2.4,1.14,2.43,1.38,1.66,1.3,1.93,,,,,2.0,1.26,1.41,1.59,7,7,2.0,1.26,1.41,1.59,0.59
